arch,task,model,metric,sampleseed,mean,std,n,t_statistic,p_value,significant,ablation
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-12345,0.7062404561638023,0.010964548182533732,5,-13.823956213379823,7.935809114272211e-05,True,rand
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-42,0.7092820071966927,0.011596008962931425,5,-12.903395651092007,0.00010401904735468816,True,rand
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.00015723270440251574,0.0003515830153301557,5,1.0,0.8130495168499705,False,rand
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.00015723270440251574,0.00035158301533015564,5,1.0,0.8130495168499705,False,rand
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.0,0.0,5,,,,rand
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.0,0.0,5,,,,rand
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.0,0.0,5,,,,rand
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.0,0.0,5,,,,rand
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.0015948963317384368,0.001260876260035239,5,1.414213562373095,0.8849001794597506,False,rand
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.0015948963317384368,0.001260876260035239,5,-7.071067811865477,0.0010553229225456348,True,rand
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.0012759170653907496,0.0013343860072313805,5,0.8017837257372731,0.7661976226953013,False,rand
protxlstm,proeng_aav_low_vs_high_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.934310198325702,0.0016115243443864614,5,-5.431197134874269,0.002787723424653132,True,rand
protxlstm,proeng_aav_low_vs_high_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.934310198325702,0.0016115243443864614,5,-5.434624063708015,0.002781400190353015,True,rand
protxlstm,proeng_aav_low_vs_high_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.934310198325702,0.0016115243443864614,5,-5.431197134874269,0.002787723424653132,True,rand
protxlstm,proeng_aav_one_vs_many_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.9667753621234013,0.0016331587615273078,5,-17.57099052759639,3.080464540210356e-05,True,rand
