arch,task,model,ablation,ptp,max_seq_num,embseed,sampleseed,metric,value
protxlstm,evolution_remote_homology_tape_rh_processed_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,train_loss,"[6.647009372711182, 6.567779813494001, 6.519278750127675, 6.477824016493194, 6.503089982636121, 6.561208783363809, 6.505829665125633, 6.454073069046955, 6.541048585152139, 6.430930040320572, 6.507812062088324, 6.529112718543228, 6.561558820763413, 6.405353137425014, 6.498055818129559, 6.402271494573476, 6.4311268864845745]"
protxlstm,evolution_remote_homology_tape_rh_processed_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,val_loss,"[7.065450191497803, 7.0680036544799805, 7.089855353037517, 7.0839948654174805, 7.0977702140808105, 7.076509475708008, 7.084455490112305, 7.118499279022217, 7.08492914835612, 7.111454327901204, 7.10821549097697, 7.0656843185424805, 7.074165503184001, 7.126070340474446, 7.115156809488933, 7.096081097920735, 7.101777712504069]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_loss,"[7.184989547729492, 7.213225364685059, 7.20491943359375, 7.25384931564331, 7.238565158843994, 7.26084794998169, 7.247989463806152, 7.338757514953613, 7.233246517181397, 7.282353115081787, 7.325800991058349, 7.296805286407471, 7.232814311981201, 7.323207569122315, 7.239972496032715, 7.301950359344483, 7.316901302337646]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_performance_2,"[0.0, 0.0, 0.0, 0.0, 0.0007861635220125787, 0.0023584905660377358, 0.0007861635220125787, 0.0, 0.0, 0.0, 0.0007861635220125787, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_performance_1,"[0.0, 0.0007861635220125787, 0.0, 0.0031446540880503146, 0.00550314465408805, 0.007075471698113208, 0.0007861635220125787, 0.0110062893081761, 0.0007861635220125787, 0.0, 0.0031446540880503146, 0.0, 0.0007861635220125787, 0.0, 0.0, 0.0, 0.0]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_loss,"[7.092498302459717, 7.111984062194824, 7.134075927734375, 7.118266773223877, 7.124584770202636, 7.098310756683349, 7.115185260772705, 7.138720226287842, 7.13396110534668, 7.1415102005004885, 7.132308864593506, 7.117092704772949, 7.121298217773438, 7.134708976745605, 7.138228511810302, 7.160672855377197, 7.146025657653809]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_performance_2,"[0.0, 0.0, 0.0, 0.0, 0.0007974481658692185, 0.0, 0.0, 0.0007974481658692185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001594896331738437, 0.0]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_performance_1,"[0.0023923444976076554, 0.003189792663476874, 0.003987240829346092, 0.005582137161084529, 0.0023923444976076554, 0.011164274322169059, 0.0007974481658692185, 0.0023923444976076554, 0.0023923444976076554, 0.0007974481658692185, 0.0007974481658692185, 0.001594896331738437, 0.005582137161084529, 0.003987240829346092, 0.0023923444976076554, 0.003189792663476874, 0.0007974481658692185]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_loss,"[7.17078177134196, 7.227766831715901, 7.250944296518962, 7.298084894816081, 7.278110186258952, 7.230628967285156, 7.2570258776346845, 7.209525108337402, 7.257901827494304, 7.273575623830159, 7.284736156463623, 7.244462649027507, 7.2259291013081866, 7.261015097300212, 7.288451353708903, 7.299251874287923, 7.246734778086345]"
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_performance_2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001392757660167131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
